EGID;IDPADR;ADRESSE;COMMUNE;DESTINATION;SOURCE_CHALEUR;NBRE_PRENEUR;DIFC;SOUMIS_AU_CALCUL;PARTICIP_EAU_CHAUDE;CALCUL_SAISON;AVANT_93;ANNEE;SRE;INDICE;CONSOM_TOTALE;CONSO_CORRIGEE;EMISSION_CO2;AGENT_1;QUANTITE_AGENT_1;AGENT_2;QUANTITE_AGENT_2;AGENT_3;QUANTITE_AGENT_3;DATE_SAISIE;SHAPE.AREA;SHAPE.LEN
1011095.0;930225029342.0;Rue TRONCHIN 4;Genève-Cité;Hab. - rez activités;Rue de Lyon 44;19;Oui;Oui;0.2;Oui;Oui;2010;1575.0;471;742869;741825.0;40857;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];225112;;;;;20100607;275.2308;70.12829318228201
1005576.0;930225017405.0;Route de Malagnou 195;Chêne-Bougeries;Hab. deux logements;Route de Malagnou 211;3;Non;;0.3;Non;Oui;2010;296.0;483;148572;142968.0;10845;Mazout. en [litres]. à 36 [MJ / litre];4127;;;;;20110518;107.79915;44.7528884351895
295020166.0;961017100415.0;Chemin de la Menuiserie 17;Bellevue;Hab plusieurs logements;Chemin de la Menuiserie 19;5;Non;Non;0.3;Non;Non;2010;523.0;477;259267;249471.0;14259;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];78566;;;;;20110209;120.5822;48.233692015189
1029449.0;930225031416.0;Rue du Village 21;Vernier;Hab plusieurs logements;Rue du Village 21;12;Non;Oui;0.3;Oui;Oui;2010;617.0;525;323871;323925.0;17812;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];98143;;;;;20110816;190.35750000000002;55.4818753532648
1017456.0;930225000679.0;L'Ancienne-Route 87;Grand-Saconnex;Hab plusieurs logements;L'Ancienne-Route 83;12;Non;Oui;0.3;Oui;Oui;2010;862.0;518;446536;446516.0;24559;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];135314;;;;;20100922;214.82940000000002;61.331196023855796
1012855.0;930225023979.0;Rue du Quartier-Neuf 14;Genève-Plainpalais;Hab plusieurs logements;Rue du Quartier-Neuf 12;12;Non;Oui;0.3;Oui;Oui;2010;879.0;541;476028;475539.0;34750;Mazout. en [litres]. à 36 [MJ / litre];13223;;;;;20100906;230.82325;62.4012108701782
1015345.0;930225028991.0;Chemin de la Tourelle 14;Genève-Petit-Saconnex;Hab plusieurs logements;Chemin Moïse-DUBOULE 47;24;Non;Oui;0.2;Oui;Oui;2010;2621.0;750;1965189;1965750.0;143458;CAD (de mazout). en [kWh]. à 3.6 [MJ / kWh];545886;;;;;20100728;335.0416;76.20269047149819
2034767.0;930225040086.0;Chemin du Centurion 13;Carouge;Hab plusieurs logements;Chemin du Centurion 3;22;Non;Oui;0.3;Oui;Oui;2010;1779.0;448;797002;796992.0;43835;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];241516;;;;;20100922;262.32685;67.5775392570218
2037409.0;930225041923.0;Promenade de l'Europe 57;Genève-Petit-Saconnex;Hab plusieurs logements;Promenade de l'Europe 59;23;Non;Oui;0.3;Oui;Oui;2010;2610.0;343;896058;895230.0;49283;CAD (de gaz). en [kWh]. à 3.6 [MJ / kWh];248905;;;;;20100714;255.13070000000002;65.6813802062832
1008416.0;930225022427.0;Chemin de Planta 11;Cologny;Hab plusieurs logements;Chemin de Planta 47;11;Non;Oui;0.3;Non;Oui;2010;1110.0;418;482031;463980.0;26511;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];146070;;;;;20110201;262.24965;64.9985936059831
